user_id,act_id,score
U00,A1,8.7
U00,A2,6.9
U00,A3,7.5
U00,A4,0.2
U00,A5,0.0
U00,A6,2.3
U00,A7,4.2
U00,A8,3.2
U00,A9,3.6
U01,A1,7.8
U01,A2,5.5
U01,A3,9.6
U01,A4,2.3
U01,A5,2.5
U01,A6,1.2
U01,A7,0.5
U01,A8,2.2
U01,A9,3.2
U02,A1,9.1
U02,A2,6.8
U02,A3,7.2
U02,A4,3.5
U02,A5,1.2
U02,A6,0.8
U02,A7,0.8
U02,A8,3.3
U02,A9,5.0
U03,A1,8.4
U03,A2,8.2
U03,A3,7.5
U03,A4,2.2
U03,A5,2.7
U03,A6,1.2
U03,A7,2.2
U03,A8,3.5
U03,A9,2.0
U04,A1,9.2
U04,A2,6.9
U04,A3,7.1
U04,A4,3.5
U04,A5,2.1
U04,A6,0.8
U04,A7,3.9
U04,A8,2.0
U04,A9,0.3
U05,A1,0.9
U05,A2,2.2
U05,A3,3.0
U05,A4,9.8
U05,A5,8.7
U05,A6,6.5
U05,A7,0.2
U05,A8,1.0
U05,A9,2.6
U06,A1,2.1
U06,A2,4.0
U06,A3,2.3
U06,A4,9.9
U06,A5,5.5
U06,A6,8.7
U06,A7,2.2
U06,A8,0.9
U06,A9,3.3
U07,A1,1.4
U07,A2,1.0
U07,A3,2.1
U07,A4,8.6
U07,A5,9.5
U07,A6,2.3
U07,A7,0.8
U07,A8,2.2
U07,A9,1.8
U08,A1,0.5
U08,A2,3.0
U08,A3,1.2
U08,A4,7.8
U08,A5,9.2
U08,A6,8.7
U08,A7,2.2
U08,A8,0.8
U08,A9,0.9
U09,A1,2.5
U09,A2,4.3
U09,A3,2.3
U09,A4,8.1
U09,A5,9.2
U09,A6,8.0
U09,A7,1.0
U09,A8,2.2
U09,A9,3.0
U10,A1,0.2
U10,A2,3.2
U10,A3,2.1
U10,A4,1.1
U10,A5,3.2
U10,A6,0.8
U10,A7,8.8
U10,A8,9.1
U10,A9,7.7
U11,A1,3.2
U11,A2,2.6
U11,A3,2.5
U11,A4,3.0
U11,A5,2.0
U11,A6,1.5
U11,A7,9.1
U11,A8,7.6
U11,A9,8.5
U12,A1,0.8
U12,A2,1.3
U12,A3,2.1
U12,A4,2.0
U12,A5,3.3
U12,A6,1.1
U12,A7,8.7
U12,A8,7.5
U12,A9,6.8
U13,A1,2.8
U13,A2,2.2
U13,A3,1.8
U13,A4,3.0
U13,A5,2.1
U13,A6,1.8
U13,A7,9.9
U13,A8,8.5
U13,A9,9.7
U14,A1,1.3
U14,A2,0.2
U14,A3,2.9
U14,A4,2.8
U14,A5,3.2
U14,A6,1.0
U14,A7,7.5
U14,A8,8.2
U14,A9,9.3
